사업장명,도로명주소,병상수,입원실수,의료인수,cluster,혼잡도,좌표정보(X),좌표정보(Y)
덕수의료재단 서울브레인병원,서울특별시 영등포구 영신로34길 5 (영등포동4가),112.0,30.0,25.0,0,혼잡,191256.017169752,446425.984842846
한강수병원,"서울특별시 영등포구 영등포로 83, 한강수병원 (양평동1가)",58.0,19.0,68.0,0,여유,190282.785893083,446694.25657399
새길병원,서울특별시 영등포구 영중로 59 (영등포동6가),51.0,13.0,23.0,0,보통,191506.148858786,446609.211364301
서울바른병원,"서울특별시 영등포구 여의대방로 145, 2~7층 (신길동, 세인트빌딩)",80.0,20.0,45.0,0,보통,192857.928262332,444236.200769671
어울림병원,"서울특별시 영등포구 영등포로 386 (신길동, 동인빌딩)",57.0,15.0,36.0,0,여유,192946.280189392,445685.944518825
신세계서울병원,"서울특별시 영등포구 경인로 841, 서울영등포동4가우체국 2,6,7,9~11층 (영등포동4가)",82.0,24.0,63.0,0,여유,191619.249847095,446038.543732844
대림성모병원,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",202.0,65.0,214.0,0,여유,191713.448635499,443157.388663332
건양의료재단 김안과병원,서울특별시 영등포구 영신로 136 (영등포동4가),77.0,29.0,132.0,0,여유,191213.335504204,446402.617508062
의료법인 인봉의료재단 영등포병원,서울특별시 영등포구 당산로31길 10 (당산동3가),89.0,24.0,59.0,0,여유,190722.223012136,447181.323127997
청화병원,서울특별시 동작구 장승배기로 108 (노량진동),53.0,30.0,34.0,0,여유,194640.513728351,444993.67767627
정동병원,서울특별시 동작구 양녕로 283 (상도1동),59.0,17.0,24.0,0,보통,195460.166419855,444749.88024195
중앙대학교병원,서울특별시 동작구 흑석로 102 (흑석동),752.0,194.0,1520.0,1,여유,196469.839776813,444981.937930765
연세동작병원,"서울특별시 동작구 성대로 43 (상도동, 우리빌딩)",99.0,31.0,28.0,0,혼잡,194064.994071226,444089.838269412
낭만병원,서울특별시 동작구 동작대로 67 (사당동),41.0,9.0,23.0,0,보통,198290.516043124,442261.684257124
연세바른병원,"서울특별시 동작구 사당로 300, 2·4층일부및3  층 (사당동, 이수자이)",45.0,11.0,47.0,0,여유,198202.472533419,442471.241038085
서울특별시보라매병원,서울특별시 동작구 보라매로5길 20 (신대방동),765.0,207.0,1327.0,1,여유,193235.493966882,443510.420778415
서울퍼스트병원,"서울특별시 관악구 은천로 51 (봉천동, 2,3,4,5,6층)",163.0,47.0,56.0,0,보통,194719.981415722,442674.193730756
척편한병원,"서울특별시 관악구 신림로 318, 4,5층 (신림동, 청암두산위브)",90.0,20.0,19.0,0,혼잡,193773.070404044,442270.419248856
조인트힐병원,서울특별시 관악구 난곡로 215 (신림동),41.0,13.0,18.0,0,보통,192636.667380434,441286.654526964
연세건우병원,"서울특별시 관악구 남부순환로 1909, 의현빌딩 지하1, 2층~7층층 (봉천동)",54.0,21.0,65.0,0,여유,196534.587783352,441771.521576822
심정병원,"서울특별시 관악구 남부순환로 1485, 삼남빌딩 2~6층 (신림동)",99.0,22.0,37.0,0,보통,192455.883042115,442267.149217637
장튼위튼병원,서울특별시 관악구 남부순환로 1867 (봉천동),32.0,14.0,39.0,0,여유,196154.920826589,441961.873381806
바른사랑병원,"서울특별시 관악구 신원로 35, 삼모 더 프라임 타워 3,7층 (신림동)",35.0,10.0,20.0,0,보통,193643.274303943,442230.03574985
서울센트럴병원,"서울특별시 관악구 남부순환로 1814, 대연빌딩 3,4,8,9층 (봉천동)",70.0,23.0,37.0,0,보통,195647.366393622,442105.342411703
의료법인서울효천의료재단 에이치플러스양지병원,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",325.0,85.0,541.0,0,여유,193961.371360025,442448.373509657
강남고려병원,서울특별시 관악구 관악로 242 (봉천동),185.0,45.0,13.0,0,혼잡,196106.551569021,442595.671190452
사랑의병원,"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동,  )",74.0,16.0,25.0,0,보통,196058.834046152,441941.183199585
강남힐병원,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",94.0,31.0,13.0,0,혼잡,192122.439315529,442168.547868945
